"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R44","RES_1206","6699.937mil","4790.337mil","6699.937mil","4794.275mil","6699.937mil","4862.188mil","B","270.00","10K"
"S12_1","PAD","3740.157mil","590.551mil","3740.157mil","590.551mil","3740.157mil","393.701mil","T","270.00","SW-PB"
"S11_1","PAD","3149.606mil","590.551mil","3149.606mil","590.551mil","3149.606mil","393.701mil","T","270.00","SW-PB"
"S10_1","PAD","2559.055mil","590.551mil","2559.055mil","590.551mil","2559.055mil","393.701mil","T","270.00","SW-PB"
"S9_1","PAD","1968.504mil","590.551mil","1968.504mil","590.551mil","1968.504mil","393.701mil","T","270.00","SW-PB"
"S4_2","PAD","6299.213mil","590.551mil","6299.213mil","590.551mil","6299.213mil","393.701mil","T","270.00","SW-PB"
"S3_2","PAD","5708.661mil","590.551mil","5708.661mil","590.551mil","5708.661mil","393.701mil","T","270.00","SW-PB"
"S2_2","PAD","5118.11mil","590.551mil","5118.11mil","590.551mil","5118.11mil","393.701mil","T","270.00","SW-PB"
"S1_2","PAD","4527.559mil","590.551mil","4527.559mil","590.551mil","4527.559mil","393.701mil","T","270.00","SW-PB"
"S8_1","PAD","6299.213mil","1181.102mil","6299.213mil","1181.102mil","6299.213mil","1377.953mil","T","90.00","SW-PB"
"S7_1","PAD","5708.661mil","1181.102mil","5708.661mil","1181.102mil","5708.661mil","1377.953mil","T","90.00","SW-PB"
"S6_1","PAD","5118.11mil","1181.102mil","5118.11mil","1181.102mil","5118.11mil","1377.953mil","T","90.00","SW-PB"
"S5_1","PAD","4527.559mil","1181.102mil","4527.559mil","1181.102mil","4527.559mil","1377.953mil","T","90.00","SW-PB"
"S4_1","PAD","3740.157mil","1185.039mil","3740.157mil","1185.039mil","3740.157mil","1381.89mil","T","90.00","SW-PB"
"S3_1","PAD","3149.606mil","1181.102mil","3149.606mil","1181.102mil","3149.606mil","1377.953mil","T","90.00","SW-PB"
"S2_1","PAD","2559.055mil","1181.102mil","2559.055mil","1181.102mil","2559.055mil","1377.953mil","T","90.00","SW-PB"
"S1_1","PAD","1968.504mil","1181.102mil","1968.504mil","1181.102mil","1968.504mil","1377.953mil","T","90.00","SW-PB"
"S12_2","PAD","2559.055mil","3641.732mil","2559.055mil","3641.732mil","2559.055mil","3444.882mil","T","270.00","SW-PB"
"S11_2","PAD","1968.504mil","3641.732mil","1968.504mil","3641.732mil","1968.504mil","3444.882mil","T","270.00","SW-PB"
"S10_2","PAD","1377.953mil","3641.732mil","1377.953mil","3641.732mil","1377.953mil","3444.882mil","T","270.00","SW-PB"
"S9_2","PAD","787.402mil","3641.732mil","787.402mil","3641.732mil","787.402mil","3444.882mil","T","270.00","SW-PB"
"S8_2","PAD","2559.055mil","4232.283mil","2559.055mil","4232.283mil","2559.055mil","4429.134mil","T","90.00","SW-PB"
"S7_2","PAD","1968.504mil","4232.283mil","1968.504mil","4232.283mil","1968.504mil","4429.134mil","T","90.00","SW-PB"
"S6_2","PAD","1377.953mil","4232.283mil","1377.953mil","4232.283mil","1377.953mil","4429.134mil","T","90.00","SW-PB"
"S5_2","PAD","787.402mil","4232.283mil","787.402mil","4232.283mil","787.402mil","4429.134mil","T","90.00","SW-PB"
